id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1415,Carboplatin Injection,Current,Oncology,Injection,"Hospira, Inc., a Pfizer Company",04/28/2023,CARBOPLATIN,INTRAVENOUS
1417,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
1418,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,"Prinston Pharmaceutical, Inc.",03/10/2023,CLONAZEPAM,ORAL
1420,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, INTRACAUDAL, PERINEURAL"
1421,Methotrexate Sodium Injection,Current,"Rheumatology, Oncology",Injection,"Teva Pharmaceuticals USA, Inc.",03/13/2023,METHOTREXATE,"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"
1422,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Rubicon Research Private Limited,03/10/2023,CLONAZEPAM,ORAL
1423,Sodium Bicarbonate Injection,To Be Discontinued,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",11/07/2025,SODIUM BICARBONATE,INTRAVENOUS
1424,Lidocaine Hydrochloride Injection,Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",02/22/2012,LIDOCAINE,"INFILTRATION, PERINEURAL"
1425,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Accord Healthcare Inc.,03/10/2023,CLONAZEPAM,ORAL
1426,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Elite Laboratories, Inc.",08/15/2023,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
1427,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",03/23/2018,NAROPIN,EPIDURAL
1428,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Rhodes Pharmaceuticals L.P.,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
1430,Remifentanil Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",06/28/2022,REMIFENTANIL HYDROCHLORIDE,INTRAVENOUS
1431,Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Injection,Sagent Pharmaceuticals,03/26/2018,KETOROLAC TROMETHAMINE,"INTRAMUSCULAR, INTRAVENOUS"
1432,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Accord Healthcare Inc.,03/10/2023,CLONAZEPAM,ORAL
1433,Etomidate Injection,Current,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",10/05/2022,ETOMIDATE,INTRAVENOUS
1434,Sterile Water Injection,Current,Other,Injection,"Hospira, Inc., a Pfizer Company",11/23/2021,STERILE WATER,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
1435,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Takeda Pharmaceuticals USA Inc.,07/14/2023,VYVANSE,ORAL
1436,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Pfizer Inc.,03/21/2023,CLEOCIN PHOSPHATE,"INTRAMUSCULAR, INTRAVENOUS"
1437,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,InfoRLife SA,03/27/2018,ROPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION"
1438,Leflunomide Tablet,To Be Discontinued,Rheumatology,Tablet,Sanofi-Aventis U.S. LLC,06/08/2026,ARAVA,ORAL
1440,Furosemide Injection,Current,Cardiovascular,Injection,"Hospira, Inc., a Pfizer Company",04/07/2020,FUROSEMIDE,"INTRAMUSCULAR, INTRAVENOUS"
1441,Sulconazole Nitrate Solution,To Be Discontinued,Dermatology,Solution,Journey Medical Corporation,05/08/2026,EXELDERM,TOPICAL
1443,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Sandoz Inc.,03/21/2023,CLINDAMYCIN IN 5 PERCENT DEXTROSE,INTRAVENOUS
1444,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",03/23/2018,NAROPIN,"EPIDURAL, INFILTRATION"
1445,Lidocaine Hydrochloride Injection,Current,"Anesthesia, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",02/22/2012,LIDOCAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
1446,Desonide Lotion,To Be Discontinued,Dermatology,Lotion,"Actavis Pharma, Inc.",09/18/2025,DESONIDE,TOPICAL
1447,Icatibant Acetate Injection,To Be Discontinued,Hematology,Injection,"Fresenius Kabi USA, LLC",05/07/2026,ICATIBANT,SUBCUTANEOUS
1448,Carboplatin Injection,Current,Oncology,Injection,"Hospira, Inc., a Pfizer Company",04/28/2023,CARBOPLATIN,INTRAVENOUS
1449,Moxifloxacin Injection,To Be Discontinued,Anti-Infective,Injection,"Fresenius Kabi USA, LLC",10/29/2025,MOXIFLOXACIN,INTRAVENOUS
1450,"Doxycycline Hyclate Tablet, Delayed Release",To Be Discontinued,Anti-Infective,Tablet,"Teva Pharmaceuticals USA, Inc.",07/30/2026,DOXYCYCLINE HYCLATE,ORAL
1451,Clindamycin Hydrochloride Capsule,To Be Discontinued,Anti-Infective,Capsule,Pfizer Inc.,02/25/2026,CLEOCIN HYDROCHLORIDE,ORAL
1452,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Baxter Healthcare,03/21/2023,CLINDAMYCIN PHOSPHATE,INTRAVENOUS
1453,Activated Charcoal Oral Suspension,To Be Discontinued,Other,Oral Suspension,Padagis US LLC,05/15/2026,ACTIDOSE AQUA,ORAL
1454,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Eugia US LLC,02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, INTRACAUDAL"
1456,Dexamethasone Sodium Phosphate Injection,Current,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Injection,"Somerset Therapeutics, LLC",02/08/2019,DEXAMETHASONE SODIUM PHOSPHATE,"INTRAMUSCULAR, INTRAVENOUS"
1457,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",02/20/2018,SENSORCAINE MPF,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
1458,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,"Prinston Pharmaceutical, Inc.",03/10/2023,CLONAZEPAM,ORAL
1459,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Epic Pharma, LLC",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
1460,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
